id,tipo_cotizacion_id,moneda_id,fecha,valor_compra,valor_venta
1,1,2,2026-09-19,1380.00,1430.00
2,1,2,2026-09-20,1385.00,1435.00
3,1,2,2026-09-21,1390.00,1440.00
4,1,2,2026-09-22,1395.00,1445.00
5,1,2,2026-09-23,1400.00,1450.00
6,2,2,2026-09-19,1450.00,1470.00
7,2,2,2026-09-20,1455.00,1475.00
8,2,2,2026-09-21,1460.00,1480.00
9,2,2,2026-09-22,1465.00,1485.00
10,2,2,2026-09-23,1470.00,1490.00
11,3,2,2026-09-19,1440.00,1450.00
12,3,2,2026-09-20,1445.00,1455.00
13,3,2,2026-09-21,1450.00,1460.00
14,3,2,2026-09-22,1455.00,1465.00
15,3,2,2026-09-23,1460.00,1470.00
16,4,2,2026-09-19,1445.00,1455.00
17,4,2,2026-09-20,1450.00,1460.00
18,4,2,2026-09-21,1455.00,1465.00
19,4,2,2026-09-22,1460.00,1470.00
20,4,2,2026-09-23,1465.00,1475.00
